date,hour,forecast_base,forecast_hour,temp_media,temp_max,temp_min,umid_mediana,umid_max,umid_min,precipitacao_total,dia_semana_num,day_of_year,mes,trimestre,feriado,Chuva_aberta,loja_id
2025-10-20,6,2025-10-17T06:00:00,72,9.23006534576416,10.7000732421875,7.4500732421875,84.5,94.70000457763672,78.70000457763672,0.0,0,293,10,4,0,0.0,1
2025-10-20,7,2025-10-17T06:00:00,73,9.06060791015625,10.795623779296877,7.165618896484375,84.3499984741211,96.5,77.0999984741211,0.0,0,293,10,4,0,0.0,1
2025-10-20,8,2025-10-17T06:00:00,74,8.750553131103516,10.4718017578125,7.011810302734375,84.4000015258789,96.5,77.9000015258789,0.0,0,293,10,4,0,0.0,1
2025-10-20,9,2025-10-17T06:00:00,75,8.426430702209473,10.32269287109375,6.8826904296875,85.20001220703125,95.60000610351562,78.20000457763672,0.0,0,293,10,4,0,0.0,1
2025-10-20,10,2025-10-17T06:00:00,76,9.863788604736328,11.18170166015625,8.3717041015625,83.80000305175781,89.69999694824219,76.5999984741211,0.0,0,293,10,4,0,0.0,1
2025-10-20,11,2025-10-17T06:00:00,77,12.36789608001709,13.38165283203125,10.711639404296877,75.94999694824219,82.30000305175781,65.5,0.0,0,293,10,4,0,0.0,1
2025-10-20,12,2025-10-17T06:00:00,78,14.622493743896484,15.8358154296875,12.755828857421877,68.60000610351562,76.80000305175781,59.0,0.0,0,293,10,4,0,0.0,1
2025-10-20,13,2025-10-17T06:00:00,79,16.570981979370117,17.788482666015625,14.8184814453125,61.69999694824219,71.4000015258789,55.0,0.0,0,293,10,4,0,0.0,1
2025-10-20,14,2025-10-17T06:00:00,80,18.19346046447754,19.63470458984375,16.364715576171875,57.75,67.9000015258789,50.20000076293945,0.0,0,293,10,4,0,0.0,1
2025-10-20,15,2025-10-17T06:00:00,81,19.43701934814453,21.02450561523437,17.62451171875,55.25,65.0,45.400001525878906,0.0,0,293,10,4,0,0.0,1
2025-10-20,16,2025-10-17T06:00:00,82,20.38066291809082,22.126495361328125,18.5264892578125,52.84999847412109,62.400001525878906,41.29999923706055,0.0,0,293,10,4,0,0.0,1
2025-10-20,17,2025-10-17T06:00:00,83,20.92256736755371,22.672576904296875,19.172576904296875,51.45000076293945,61.400001525878906,39.20000076293945,0.0,0,293,10,4,0,0.0,1
2025-10-20,18,2025-10-17T06:00:00,84,21.012115478515625,22.56210327148437,19.262115478515625,51.59999847412109,61.29999923706055,38.79999923706055,0.0,0,293,10,4,0,0.0,1
2025-10-20,19,2025-10-17T06:00:00,85,20.759721755981445,22.209716796875,19.209716796875,55.650001525878906,65.69999694824219,41.0,0.0,0,293,10,4,0,0.0,1
2025-10-20,20,2025-10-17T06:00:00,86,19.946855545043945,21.22186279296875,18.5218505859375,63.59999847412109,70.4000015258789,51.29999923706055,0.0,0,293,10,4,0,0.0,1
2025-10-20,21,2025-10-17T06:00:00,87,17.90751075744629,18.511688232421875,16.811676025390625,71.80000305175781,77.0,67.0,0.0,0,293,10,4,0,0.0,1
2025-10-20,22,2025-10-17T06:00:00,88,15.186840057373049,16.3193359375,13.859344482421877,76.94999694824219,83.9000015258789,71.0999984741211,0.0,0,293,10,4,0,0.0,1
2025-10-20,23,2025-10-17T06:00:00,89,14.062156677246094,15.407989501953123,12.50799560546875,79.75,89.80000305175781,72.0,0.0,0,293,10,4,0,0.0,1
2025-10-21,0,2025-10-17T06:00:00,90,13.727508544921877,15.508758544921877,12.258758544921877,80.65000915527344,90.10000610351562,70.70000457763672,0.0,1,294,10,4,0,0.0,1
2025-10-21,1,2025-10-17T06:00:00,91,13.227897644042969,15.089141845703123,11.479156494140623,83.05000305175781,92.5999984741211,74.30000305175781,0.0,1,294,10,4,0,0.0,1
2025-10-21,2,2025-10-17T06:00:00,92,12.452975273132324,14.021728515625,10.8917236328125,86.25,95.4000015258789,81.0,0.0,1,294,10,4,0,0.0,1
