date,hour,forecast_base,forecast_hour,precipitacao_total,rad_total,temp_media,temp_max,temp_min,umid_mediana,umid_max,umid_min,vento_vel_media,vento_raj_max,rad_mediana,rad_max,rad_min,dia_semana_num,day_of_year,mes,trimestre,feriado,Chuva_aberta,loja_id
2025-10-26,2,2025-10-23T15:00:00-03:00,59,-0.17708333333333334,0.0,13.324334716796898,13.324334716796898,13.324334716796898,97.4000015258789,97.4000015258789,97.4000015258789,,,0.0,0.0,0.0,6,299,10,4,0,-0.17708333333333334,1
2025-10-26,3,2025-10-23T15:00:00-03:00,60,-0.17708333333333334,0.0,12.945855712890648,12.945855712890648,12.945855712890648,97.4000015258789,97.4000015258789,97.4000015258789,,,0.0,0.0,0.0,6,299,10,4,0,-0.17708333333333334,1
2025-10-26,4,2025-10-23T15:00:00-03:00,61,0.0,0.0,12.499353027343773,12.499353027343773,12.499353027343773,96.80000305175781,96.80000305175781,96.80000305175781,,,0.0,0.0,0.0,6,299,10,4,0,0.0,1
2025-10-26,5,2025-10-23T15:00:00-03:00,62,0.0,0.0,12.009423828125023,12.009423828125023,12.009423828125023,96.9000015258789,96.9000015258789,96.9000015258789,,,0.0,0.0,0.0,6,299,10,4,0,0.0,1
2025-10-26,6,2025-10-23T15:00:00-03:00,63,0.0,0.0,11.610711669921898,11.610711669921898,11.610711669921898,96.9000015258789,96.9000015258789,96.9000015258789,,,0.0,0.0,0.0,6,299,10,4,0,0.0,1
2025-10-26,7,2025-10-23T15:00:00-03:00,64,0.0,0.0,12.839501953125023,12.839501953125023,12.839501953125023,92.9000015258789,92.9000015258789,92.9000015258789,,,0.0,0.0,0.0,6,299,10,4,0,0.0,1
2025-10-26,8,2025-10-23T15:00:00-03:00,65,0.0,0.0,14.544366455078148,14.544366455078148,14.544366455078148,85.5,85.5,85.5,,,0.0,0.0,0.0,6,299,10,4,0,0.0,1
2025-10-26,9,2025-10-23T15:00:00-03:00,66,0.0,0.0,16.249047851562523,16.249047851562523,16.249047851562523,77.5,77.5,77.5,,,0.0,0.0,0.0,6,299,10,4,0,0.0,1
2025-10-26,10,2025-10-23T15:00:00-03:00,67,0.0,0.0,17.859277343750023,17.859277343750023,17.859277343750023,71.0999984741211,71.0999984741211,71.0999984741211,,,0.0,0.0,0.0,6,299,10,4,0,0.0,1
2025-10-26,11,2025-10-23T15:00:00-03:00,68,0.0,0.0,19.315942382812523,19.315942382812523,19.315942382812523,67.5999984741211,67.5999984741211,67.5999984741211,,,0.0,0.0,0.0,6,299,10,4,0,0.0,1
2025-10-26,12,2025-10-23T15:00:00-03:00,69,0.0,0.0,20.323541259765648,20.323541259765648,20.323541259765648,64.9000015258789,64.9000015258789,64.9000015258789,,,0.0,0.0,0.0,6,299,10,4,0,0.0,1
2025-10-26,13,2025-10-23T15:00:00-03:00,70,0.0,0.0,20.781396484375023,20.781396484375023,20.781396484375023,64.19999694824219,64.19999694824219,64.19999694824219,,,0.0,0.0,0.0,6,299,10,4,0,0.0,1
